t,dx_px,dy_px,angle_x,angle_y,valid,spot_id,spot_score,height,yaw_deg,vn,ve,v_fwd,v_right,x,y,disp_n,disp_e
16.927,134.0,-224.0,-0.21095746755599976,-0.12957602739334106,1,0,127,0.970,-27.78,-0.0074,0.0118,-0.0120,0.0070,0.0678,-0.0340,-0.0426,-0.0609
16.977,134.0,-221.0,-0.2081402838230133,-0.12952956557273865,1,0,127,0.970,-27.82,-0.0016,0.0072,-0.0047,0.0056,0.0682,-0.0339,-0.0422,-0.0608
17.027,134.0,-225.0,-0.21189647912979126,-0.1295916736125946,1,0,127,0.970,-27.85,0.0029,0.0028,0.0012,0.0038,0.0692,-0.0345,-0.0413,-0.0614
17.076,134.0,-229.0,-0.215652197599411,-0.12965504825115204,1,0,127,0.970,-27.87,0.0040,0.0003,0.0034,0.0021,0.0693,-0.0345,-0.0411,-0.0614
17.126,134.0,-235.0,-0.22128495573997498,-0.1297525018453598,1,0,127,0.970,-27.88,0.0041,-0.0027,0.0049,-0.0005,0.0695,-0.0348,-0.0409,-0.0617
17.177,137.0,-234.0,-0.2203952968120575,-0.1326371729373932,1,0,127,0.970,-27.89,0.0037,-0.0061,0.0061,-0.0037,0.0693,-0.0353,-0.0411,-0.0622
17.227,139.0,-228.0,-0.21479347348213196,-0.13447046279907227,1,0,127,0.980,-27.90,0.0048,-0.0099,0.0089,-0.0065,0.0690,-0.0363,-0.0414,-0.0632
17.277,142.0,-225.0,-0.21202443540096283,-0.13731873035430908,1,0,127,0.980,-27.91,0.0078,-0.0142,0.0136,-0.0089,0.0690,-0.0379,-0.0414,-0.0648
17.327,149.0,-223.0,-0.2102624773979187,-0.14404386281967163,1,0,98,0.980,-27.91,0.0126,-0.0178,0.0195,-0.0098,0.0692,-0.0396,-0.0412,-0.0665
17.377,153.0,-227.0,-0.21409405767917633,-0.14797700941562653,1,0,116,0.980,-27.90,0.0187,-0.0210,0.0264,-0.0098,0.0700,-0.0415,-0.0404,-0.0684
17.427,156.0,-231.0,-0.21791106462478638,-0.1509489119052887,1,0,127,0.980,-27.90,0.0247,-0.0227,0.0325,-0.0085,0.0716,-0.0439,-0.0388,-0.0707
17.477,157.0,-236.0,-0.22263267636299133,-0.15201124548912048,1,0,127,0.980,-27.87,0.0280,-0.0229,0.0355,-0.0071,0.0732,-0.0461,-0.0372,-0.0730
17.527,160.0,-250.0,-0.23585917055606842,-0.1551988273859024,1,0,114,0.970,-27.85,0.0284,-0.0217,0.0352,-0.0059,0.0744,-0.0481,-0.0361,-0.0750
17.577,160.0,-253.0,-0.23868024349212646,-0.15526290237903595,1,0,92,0.970,-27.82,0.0263,-0.0190,0.0322,-0.0045,0.0754,-0.0495,-0.0351,-0.0764
17.626,164.0,-257.0,-0.2425285428762436,-0.15922756493091583,1,0,127,0.940,-27.79,0.0231,-0.0159,0.0278,-0.0033,0.0760,-0.0509,-0.0345,-0.0778
17.676,166.0,-254.0,-0.23975063860416412,-0.16109856963157654,1,0,112,0.940,-27.75,0.0207,-0.0124,0.0241,-0.0013,0.0764,-0.0520,-0.0340,-0.0789
17.727,168.0,-250.0,-0.23603084683418274,-0.16294635832309723,1,0,127,0.960,-27.71,0.0202,-0.0090,0.0221,0.0014,0.0771,-0.0529,-0.0334,-0.0798
17.776,170.0,-249.0,-0.23513385653495789,-0.16486050188541412,1,0,127,0.960,-27.66,0.0218,-0.0059,0.0221,0.0049,0.0780,-0.0540,-0.0325,-0.0809
17.826,173.0,-249.0,-0.23520112037658691,-0.16776485741138458,1,0,127,0.950,-27.60,0.0245,-0.0027,0.0229,0.0090,0.0793,-0.0552,-0.0311,-0.0820
17.877,176.0,-252.0,-0.2380952537059784,-0.17073935270309448,1,0,127,0.950,-27.52,0.0264,0.0009,0.0230,0.0130,0.0809,-0.0565,-0.0296,-0.0834
17.926,174.0,-261.0,-0.24652259051799774,-0.16901680827140808,1,0,127,0.950,-27.44,0.0261,0.0059,0.0204,0.0172,0.0825,-0.0572,-0.0280,-0.0841
17.977,176.0,-267.0,-0.2522200047969818,-0.17110580205917358,1,0,127,0.950,-27.35,0.0230,0.0108,0.0154,0.0202,0.0834,-0.0582,-0.0270,-0.0851
18.027,175.0,-273.0,-0.25784313678741455,-0.17028795182704926,1,0,127,0.970,-27.24,0.0174,0.0159,0.0082,0.0221,0.0835,-0.0591,-0.0270,-0.0860
18.077,175.0,-273.0,-0.25784313678741455,-0.17028795182704926,1,0,127,0.970,-27.14,0.0106,0.0207,0.0000,0.0232,0.0829,-0.0597,-0.0275,-0.0866
18.127,173.0,-265.0,-0.2502638101577759,-0.1681445986032486,1,0,127,0.970,-27.03,0.0057,0.0246,-0.0061,0.0245,0.0823,-0.0600,-0.0281,-0.0869
18.177,173.0,-262.0,-0.24744005501270294,-0.16807129979133606,1,0,127,0.970,-26.90,0.0027,0.0280,-0.0103,0.0261,0.0818,-0.0602,-0.0286,-0.0871
18.227,175.0,-254.0,-0.23995541036128998,-0.16981807351112366,1,0,127,0.960,-26.80,0.0019,0.0305,-0.0121,0.0281,0.0815,-0.0603,-0.0289,-0.0872
18.277,173.0,-252.0,-0.23802584409713745,-0.16783395409584045,1,0,127,0.960,-26.67,0.0028,0.0321,-0.0119,0.0299,0.0818,-0.0603,-0.0287,-0.0872
18.326,172.0,-251.0,-0.2370615452528,-0.16684246063232422,1,0,127,0.970,-26.55,0.0036,0.0334,-0.0117,0.0315,0.0822,-0.0604,-0.0283,-0.0872
18.377,169.0,-249.0,-0.23511168360710144,-0.16389229893684387,1,0,127,0.970,-26.42,0.0025,0.0339,-0.0128,0.0315,0.0824,-0.0601,-0.0280,-0.0870
18.427,166.0,-254.0,-0.23975063860416412,-0.16109856963157654,1,0,127,0.960,-26.30,-0.0002,0.0349,-0.0156,0.0312,0.0827,-0.0596,-0.0277,-0.0865
18.477,165.0,-255.0,-0.2406693547964096,-0.16015195846557617,1,0,116,0.960,-26.18,-0.0039,0.0360,-0.0193,0.0306,0.0826,-0.0586,-0.0278,-0.0855
18.527,162.0,-251.0,-0.23684178292751312,-0.15715737640857697,1,0,103,0.970,-26.07,-0.0085,0.0358,-0.0234,0.0284,0.0819,-0.0579,-0.0285,-0.0848
18.577,164.0,-251.0,-0.23688463866710663,-0.15909460186958313,1,0,102,0.970,-25.97,-0.0117,0.0352,-0.0259,0.0265,0.0810,-0.0572,-0.0295,-0.0841
18.626,162.0,-234.0,-0.22084878385066986,-0.15680480003356934,1,0,127,0.950,-25.87,-0.0130,0.0332,-0.0261,0.0242,0.0797,-0.0567,-0.0307,-0.0836
18.676,161.0,-233.0,-0.21988818049430847,-0.1558186411857605,1,0,91,0.950,-25.78,-0.0117,0.0305,-0.0238,0.0224,0.0787,-0.0561,-0.0317,-0.0830
18.726,160.0,-223.0,-0.21045894920825958,-0.15466155111789703,1,0,127,0.970,-25.69,-0.0079,0.0266,-0.0187,0.0206,0.0787,-0.0559,-0.0317,-0.0828
18.777,160.0,-220.0,-0.20763550698757172,-0.1546061784029007,1,0,127,0.970,-25.60,-0.0041,0.0210,-0.0128,0.0172,0.0789,-0.0565,-0.0316,-0.0834
18.827,158.0,-224.0,-0.2113630473613739,-0.152749702334404,1,0,99,0.970,-25.52,-0.0025,0.0157,-0.0090,0.0131,0.0784,-0.0571,-0.0320,-0.0840
18.877,159.0,-225.0,-0.21232247352600098,-0.15373358130455017,1,0,127,0.970,-25.44,-0.0021,0.0115,-0.0069,0.0095,0.0783,-0.0572,-0.0322,-0.0841
18.927,159.0,-229.0,-0.21608613431453705,-0.15380904078483582,1,0,105,0.950,-25.35,-0.0027,0.0073,-0.0056,0.0055,0.0784,-0.0576,-0.0321,-0.0845
18.976,158.0,-226.0,-0.21324482560157776,-0.15278682112693787,1,0,127,0.950,-25.26,-0.0030,0.0033,-0.0041,0.0017,0.0782,-0.0581,-0.0322,-0.0850
19.027,162.0,-221.0,-0.20861364901065826,-0.1565541923046112,1,0,127,0.960,-25.17,-0.0030,0.0033,-0.0041,0.0017,0.0782,-0.0581,-0.0322,-0.0850
19.076,161.0,-216.0,-0.20388847589492798,-0.15549787878990173,1,0,127,0.960,-25.08,-0.0027,-0.0007,-0.0021,-0.0017,0.0777,-0.0584,-0.0327,-0.0853
19.127,165.0,-209.0,-0.19736875593662262,-0.1592274308204651,1,0,127,0.970,-24.98,-0.0007,-0.0047,0.0013,-0.0046,0.0772,-0.0584,-0.0333,-0.0853
19.177,166.0,-208.0,-0.19644469022750854,-0.16017286479473114,1,0,127,0.970,-24.88,0.0084,-0.0133,0.0132,-0.0085,0.0774,-0.0589,-0.0331,-0.0858
19.227,170.0,-212.0,-0.20028682053089142,-0.1640995889902115,1,0,127,0.970,-24.78,0.0139,-0.0171,0.0198,-0.0097,0.0786,-0.0595,-0.0319,-0.0864
19.277,171.0,-211.0,-0.19936323165893555,-0.1650443971157074,1,0,127,0.970,-24.69,0.0168,-0.0195,0.0234,-0.0107,0.0794,-0.0600,-0.0311,-0.0869
19.326,175.0,-221.0,-0.20886605978012085,-0.16909468173980713,1,0,127,0.960,-24.57,0.0168,-0.0195,0.0234,-0.0107,0.0794,-0.0600,-0.0311,-0.0869
19.376,178.0,-228.0,-0.21552640199661255,-0.1721343994140625,1,0,127,0.960,-24.48,0.0194,-0.0231,0.0272,-0.0130,0.0818,-0.0626,-0.0287,-0.0895
19.427,182.0,-228.0,-0.21561256051063538,-0.17599517107009888,1,0,117,0.940,-24.36,0.0184,-0.0232,0.0263,-0.0135,0.0821,-0.0637,-0.0283,-0.0906
19.476,185.0,-229.0,-0.21662189066410065,-0.1789126992225647,1,0,127,0.940,-24.27,0.0184,-0.0232,0.0263,-0.0136,0.0821,-0.0637,-0.0283,-0.0906
19.526,188.0,-226.0,-0.21385841071605682,-0.18174077570438385,1,0,127,0.930,-24.17,0.0175,-0.0228,0.0253,-0.0136,0.0822,-0.0648,-0.0282,-0.0917
19.577,191.0,-223.0,-0.21109402179718018,-0.1845674365758896,1,0,127,0.930,-24.07,0.0206,-0.0215,0.0276,-0.0113,0.0831,-0.0667,-0.0274,-0.0936
19.627,196.0,-221.0,-0.2093186378479004,-0.18934300541877747,1,0,127,0.950,-23.98,0.0240,-0.0197,0.0299,-0.0082,0.0844,-0.0675,-0.0261,-0.0944
19.677,198.0,-225.0,-0.21314403414726257,-0.19136348366737366,1,0,100,0.950,-23.89,0.0240,-0.0197,0.0299,-0.0083,0.0844,-0.0675,-0.0261,-0.0944
19.726,202.0,-232.0,-0.21985536813735962,-0.19539086520671844,1,0,127,0.970,-23.82,0.0285,-0.0133,0.0314,-0.0006,0.0877,-0.0685,-0.0227,-0.0954
19.777,204.0,-239.0,-0.22652174532413483,-0.19749900698661804,1,0,105,0.970,-23.75,0.0285,-0.0133,0.0314,-0.0007,0.0877,-0.0685,-0.0227,-0.0954
19.827,209.0,-247.0,-0.23421798646450043,-0.2025446891784668,1,0,127,0.950,-23.69,0.0247,-0.0047,0.0245,0.0056,0.0898,-0.0708,-0.0207,-0.0977
19.876,207.0,-244.0,-0.23132719099521637,-0.20052960515022278,1,0,127,0.950,-23.64,0.0247,-0.0047,0.0245,0.0056,0.0898,-0.0708,-0.0207,-0.0977
19.926,212.0,-245.0,-0.2324097454547882,-0.20538975298404694,1,0,127,0.940,-23.60,0.0164,0.0034,0.0137,0.0097,0.0893,-0.0748,-0.0211,-0.1017
19.977,212.0,-243.0,-0.23051795363426208,-0.20533467829227448,1,0,127,0.940,-23.56,0.0135,0.0081,0.0091,0.0128,0.0888,-0.0762,-0.0216,-0.1031
20.027,214.0,-238.0,-0.22584223747253418,-0.20713046193122864,1,0,127,0.950,-23.52,0.0135,0.0081,0.0091,0.0128,0.0888,-0.0762,-0.0216,-0.1031
20.077,214.0,-237.0,-0.22489595413208008,-0.20710352063179016,1,0,127,0.950,-23.49,0.0130,0.0167,0.0052,0.0205,0.0887,-0.0783,-0.0217,-0.1051
20.126,211.0,-238.0,-0.2257610559463501,-0.2042335420846939,1,0,124,0.960,-23.46,0.0133,0.0207,0.0039,0.0243,0.0892,-0.0790,-0.0213,-0.1059
20.177,211.0,-237.0,-0.22481513023376465,-0.20420698821544647,1,0,127,0.960,-23.43,0.0124,0.0252,0.0014,0.0281,0.0898,-0.0793,-0.0206,-0.1062
20.226,210.0,-239.0,-0.22668007016181946,-0.20329441130161285,1,0,127,0.940,-23.41,0.0100,0.0301,-0.0027,0.0316,0.0902,-0.0792,-0.0202,-0.1061
20.276,210.0,-247.0,-0.2342456579208374,-0.20351161062717438,1,0,127,0.940,-23.39,0.0100,0.0301,-0.0027,0.0316,0.0902,-0.0792,-0.0202,-0.1061
20.326,206.0,-244.0,-0.23130032420158386,-0.19956302642822266,1,0,111,0.900,-23.37,0.0015,0.0392,-0.0142,0.0366,0.0895,-0.0780,-0.0210,-0.1049
20.377,203.0,-242.0,-0.22933070361614227,-0.1966107040643692,1,0,127,0.900,-23.36,-0.0027,0.0426,-0.0194,0.0380,0.0883,-0.0771,-0.0221,-0.1040
20.427,201.0,-232.0,-0.21983055770397186,-0.1944257616996765,1,0,127,0.950,-23.36,-0.0049,0.0443,-0.0220,0.0388,0.0872,-0.0764,-0.0232,-0.1033
20.477,200.0,-231.0,-0.21886102855205536,-0.1934361457824707,1,0,127,0.950,-23.36,-0.0048,0.0446,-0.0221,0.0390,0.0864,-0.0759,-0.0240,-0.1028
20.527,194.0,-220.0,-0.20832866430282593,-0.1873927116394043,1,0,127,0.940,-23.37,-0.0039,0.0434,-0.0208,0.0383,0.0859,-0.0754,-0.0245,-0.1023
20.576,193.0,-220.0,-0.2083061933517456,-0.18642883002758026,1,0,127,0.940,-23.39,-0.0039,0.0434,-0.0208,0.0383,0.0859,-0.0754,-0.0245,-0.1023
20.627,189.0,-221.0,-0.20916154980659485,-0.18259485065937042,1,0,127,0.960,-23.41,-0.0019,0.0410,-0.0180,0.0369,0.0855,-0.0736,-0.0249,-0.1004
20.677,188.0,-223.0,-0.21102721989154816,-0.18167442083358765,1,0,99,0.960,-23.45,-0.0019,0.0410,-0.0180,0.0368,0.0855,-0.0736,-0.0249,-0.1004
20.726,184.0,-225.0,-0.21282662451267242,-0.1778598576784134,1,0,123,0.950,-23.48,-0.0040,0.0382,-0.0189,0.0335,0.0854,-0.0716,-0.0250,-0.0985
20.776,185.0,-225.0,-0.2128484547138214,-0.17882457375526428,1,0,127,0.950,-23.52,-0.0040,0.0382,-0.0189,0.0335,0.0854,-0.0716,-0.0250,-0.0985
20.827,181.0,-219.0,-0.20710337162017822,-0.17483949661254883,1,0,127,0.970,-23.56,-0.0068,0.0335,-0.0196,0.0280,0.0844,-0.0692,-0.0260,-0.0961
20.877,179.0,-213.0,-0.20140375196933746,-0.17279045283794403,1,0,127,0.970,-23.60,-0.0068,0.0335,-0.0196,0.0280,0.0844,-0.0692,-0.0260,-0.0961
20.927,175.0,-204.0,-0.19283908605575562,-0.16876624524593353,1,0,127,0.970,-23.66,-0.0072,0.0287,-0.0181,0.0234,0.0833,-0.0687,-0.0271,-0.0956
20.977,176.0,-205.0,-0.19380082190036774,-0.16974739730358124,1,0,127,0.970,-23.71,-0.0055,0.0225,-0.0141,0.0184,0.0824,-0.0685,-0.0281,-0.0954
21.027,174.0,-203.0,-0.19187761843204498,-0.1677853763103485,1,0,127,0.970,-23.78,0.0018,0.0072,-0.0013,0.0073,0.0819,-0.0702,-0.0286,-0.0971
21.076,175.0,-206.0,-0.19472502171993256,-0.1688033640384674,1,0,127,0.970,-23.87,0.0018,0.0072,-0.0013,0.0073,0.0819,-0.0702,-0.0286,-0.0971
21.127,176.0,-213.0,-0.20134444534778595,-0.16989997029304504,1,0,108,1.000,-23.96,0.0063,-0.0054,0.0080,-0.0024,0.0824,-0.0724,-0.0280,-0.0993
21.177,175.0,-213.0,-0.20132490992546082,-0.16893643140792847,1,0,127,1.000,-24.06,0.0063,-0.0054,0.0080,-0.0024,0.0824,-0.0724,-0.0280,-0.0993
21.227,176.0,-216.0,-0.20417284965515137,-0.16995887458324432,1,0,106,0.940,-24.16,0.0068,-0.0098,0.0102,-0.0062,0.0828,-0.0733,-0.0276,-0.1002
21.277,178.0,-217.0,-0.20515578985214233,-0.17190666496753693,1,0,127,0.940,-24.26,0.0069,-0.0163,0.0130,-0.0120,0.0829,-0.0747,-0.0275,-0.1016
21.327,178.0,-212.0,-0.20044079422950745,-0.17180733382701874,1,0,127,0.960,-24.36,0.0069,-0.0163,0.0130,-0.0120,0.0829,-0.0747,-0.0275,-0.1016
21.377,179.0,-213.0,-0.20140375196933746,-0.17279045283794403,1,0,127,0.960,-24.46,0.0074,-0.0202,0.0151,-0.0154,0.0827,-0.0757,-0.0277,-0.1026
21.427,183.0,-212.0,-0.2005409598350525,-0.17662380635738373,1,0,127,0.970,-24.56,0.0129,-0.0287,0.0237,-0.0207,0.0839,-0.0784,-0.0266,-0.1053
21.476,184.0,-212.0,-0.20056135952472687,-0.17758701741695404,1,0,127,0.970,-24.67,0.0129,-0.0287,0.0237,-0.0206,0.0839,-0.0784,-0.0266,-0.1053
21.526,189.0,-221.0,-0.20916154980659485,-0.18259485065937042,1,0,127,0.970,-24.78,0.0183,-0.0348,0.0312,-0.0239,0.0860,-0.0833,-0.0244,-0.1102
21.577,190.0,-225.0,-0.21295952796936035,-0.1836477369070053,1,0,127,0.970,-24.91,0.0183,-0.0348,0.0312,-0.0239,0.0860,-0.0833,-0.0244,-0.1102
21.627,195.0,-239.0,-0.22629374265670776,-0.18880414962768555,1,0,110,0.950,-25.05,0.0174,-0.0354,0.0308,-0.0246,0.0879,-0.0881,-0.0225,-0.1150
21.677,195.0,-237.0,-0.22440548241138458,-0.18875503540039062,1,0,118,0.950,-25.20,0.0174,-0.0354,0.0308,-0.0246,0.0879,-0.0881,-0.0225,-0.1150
21.727,197.0,-241.0,-0.22823204100131989,-0.19078662991523743,1,0,127,0.940,-25.36,0.0129,-0.0297,0.0244,-0.0213,0.0890,-0.0912,-0.0214,-0.1181
21.777,199.0,-241.0,-0.22828273475170135,-0.19271942973136902,1,0,127,0.940,-25.53,0.0129,-0.0297,0.0245,-0.0213,0.0890,-0.0912,-0.0214,-0.1181
21.827,202.0,-243.0,-0.23024940490722656,-0.19567032158374786,1,0,103,0.970,-25.72,0.0114,-0.0261,0.0215,-0.0186,0.0894,-0.0923,-0.0211,-0.1192
21.876,205.0,-242.0,-0.22938330471515656,-0.1985434591770172,1,0,127,0.970,-25.91,0.0105,-0.0229,0.0194,-0.0160,0.0896,-0.0938,-0.0209,-0.1207
21.926,207.0,-243.0,-0.23038187623023987,-0.20050281286239624,1,0,127,0.970,-26.09,0.0112,-0.0190,0.0184,-0.0121,0.0902,-0.0951,-0.0202,-0.1220
21.977,209.0,-248.0,-0.23516348004341125,-0.202572301030159,1,0,127,0.960,-26.33,0.0122,-0.0153,0.0177,-0.0083,0.0909,-0.0966,-0.0195,-0.1235
22.026,209.0,-254.0,-0.24083583056926727,-0.20274055004119873,1,0,127,0.970,-26.56,0.0118,-0.0112,0.0155,-0.0047,0.0915,-0.0984,-0.0189,-0.1253
22.077,208.0,-261.0,-0.2474234253168106,-0.20197391510009766,1,0,127,0.970,-26.78,0.0079,0.0004,0.0069,0.0039,0.0928,-0.0999,-0.0176,-0.1268
22.126,205.0,-262.0,-0.24828149378299713,-0.19909587502479553,1,0,127,0.960,-27.03,0.0079,0.0004,0.0069,0.0039,0.0928,-0.0999,-0.0176,-0.1268
22.177,205.0,-266.0,-0.25206002593040466,-0.19921252131462097,1,0,127,0.960,-27.33,0.0034,0.0095,-0.0013,0.0100,0.0928,-0.0996,-0.0176,-0.1265
22.227,201.0,-261.0,-0.24722352623939514,-0.1951909065246582,1,0,127,0.960,-27.58,-0.0005,0.0168,-0.0082,0.0147,0.0926,-0.0988,-0.0178,-0.1257
22.276,200.0,-260.0,-0.2462514191865921,-0.1941937804222107,1,0,123,0.960,-27.88,-0.0023,0.0218,-0.0122,0.0183,0.0926,-0.0980,-0.0178,-0.1248
22.326,195.0,-252.0,-0.23856502771377563,-0.18913495540618896,1,0,127,0.960,-28.23,-0.0033,0.0279,-0.0161,0.0230,0.0925,-0.0973,-0.0179,-0.1242
22.377,195.0,-255.0,-0.24139627814292908,-0.18921419978141785,1,0,118,0.960,-28.52,-0.0034,0.0318,-0.0182,0.0263,0.0925,-0.0968,-0.0179,-0.1237
22.427,188.0,-254.0,-0.24027188122272491,-0.182409405708313,1,0,127,0.950,-28.85,-0.0026,0.0344,-0.0189,0.0289,0.0928,-0.0964,-0.0177,-0.1233
22.477,184.0,-255.0,-0.24111443758010864,-0.17856059968471527,1,0,127,0.950,-29.19,-0.0017,0.0379,-0.0199,0.0323,0.0932,-0.0957,-0.0172,-0.1226
22.527,178.0,-257.0,-0.2428520768880844,-0.17279693484306335,1,0,104,0.960,-29.54,-0.0020,0.0405,-0.0217,0.0343,0.0938,-0.0948,-0.0166,-0.1217
22.576,175.0,-260.0,-0.24560506641864777,-0.16996213793754578,1,0,122,0.960,-29.89,-0.0039,0.0442,-0.0254,0.0364,0.0940,-0.0934,-0.0164,-0.1203
22.627,168.0,-254.0,-0.23979513347148895,-0.16303639113903046,1,0,120,0.960,-30.24,-0.0058,0.0456,-0.0280,0.0364,0.0937,-0.0924,-0.0168,-0.1193
22.677,162.0,-248.0,-0.23402005434036255,-0.1570930778980255,1,0,127,0.940,-30.60,-0.0083,0.0462,-0.0306,0.0355,0.0930,-0.0909,-0.0175,-0.1178
22.726,160.0,-248.0,-0.23397831618785858,-0.15515659749507904,1,0,127,0.940,-30.96,-0.0095,0.0454,-0.0315,0.0340,0.0920,-0.0896,-0.0185,-0.1165
22.776,153.0,-236.0,-0.22255662083625793,-0.1481439173221588,1,0,118,0.930,-31.32,-0.0095,0.0426,-0.0302,0.0315,0.0912,-0.0885,-0.0192,-0.1154
22.827,150.0,-235.0,-0.221560999751091,-0.1452246457338333,1,0,127,0.930,-31.68,-0.0072,0.0381,-0.0262,0.0287,0.0909,-0.0877,-0.0196,-0.1146
22.877,145.0,-232.0,-0.21865244209766388,-0.1403370499610901,1,0,127,0.960,-32.04,-0.0036,0.0329,-0.0205,0.0260,0.0912,-0.0871,-0.0192,-0.1140
22.927,140.0,-239.0,-0.2251410186290741,-0.13562488555908203,1,0,89,0.940,-32.40,-0.0006,0.0282,-0.0156,0.0235,0.0920,-0.0856,-0.0184,-0.1125
22.977,135.0,-235.0,-0.22130124270915985,-0.13071967661380768,1,0,127,0.940,-32.77,0.0014,0.0233,-0.0114,0.0203,0.0926,-0.0841,-0.0178,-0.1110
23.026,132.0,-237.0,-0.22312982380390167,-0.1278506964445114,1,0,127,0.940,-33.15,0.0023,0.0183,-0.0080,0.0166,0.0932,-0.0829,-0.0172,-0.1098
23.076,128.0,-236.0,-0.22212812304496765,-0.12396469712257385,1,0,127,0.930,-33.52,0.0020,0.0127,-0.0053,0.0117,0.0936,-0.0821,-0.0168,-0.1090
23.126,126.0,-237.0,-0.22303539514541626,-0.12204533815383911,1,0,127,0.910,-33.90,0.0011,0.0065,-0.0027,0.0060,0.0936,-0.0816,-0.0168,-0.1084
23.180,123.0,-232.0,-0.21830010414123535,-0.1190669909119606,1,0,127,0.910,-34.29,0.0022,-0.0077,0.0062,-0.0051,0.0929,-0.0816,-0.0175,-0.1085
23.227,123.0,-230.0,-0.21642400324344635,-0.11903735995292664,1,0,127,1.000,-34.68,0.0022,-0.0077,0.0062,-0.0051,0.0929,-0.0816,-0.0175,-0.1085
23.277,121.0,-231.0,-0.21733319759368896,-0.1171182170510292,1,0,127,1.000,-35.08,0.0044,-0.0158,0.0127,-0.0104,0.0928,-0.0823,-0.0177,-0.1092
23.327,120.0,-232.0,-0.21825674176216125,-0.11616569012403488,1,0,127,0.970,-35.50,0.0070,-0.0237,0.0194,-0.0152,0.0933,-0.0834,-0.0172,-0.1103
23.377,118.0,-243.0,-0.22854149341583252,-0.1143927052617073,1,0,127,0.970,-35.86,0.0090,-0.0316,0.0258,-0.0204,0.0946,-0.0867,-0.0159,-0.1136
23.427,112.0,-248.0,-0.2331402450799942,-0.1086532473564148,1,0,127,0.970,-35.88,0.0028,-0.0273,0.0183,-0.0205,0.0947,-0.0883,-0.0158,-0.1152
23.477,110.0,-239.0,-0.22468002140522003,-0.10658799856901169,1,0,74,0.970,-35.88,-0.0252,-0.0157,-0.0112,-0.0275,0.0933,-0.0884,-0.0171,-0.1153
23.526,127.0,-217.0,-0.2042819708585739,-0.12271285057067871,1,0,127,0.940,-33.01,-0.0578,-0.0336,-0.0302,-0.0597,0.0902,-0.0881,-0.0202,-0.1150
23.577,153.0,-205.0,-0.1933983564376831,-0.14759978652000427,1,0,127,0.940,-30.50,-0.0901,-0.0774,-0.0384,-0.1124,0.0856,-0.0895,-0.0248,-0.1164
23.627,207.0,-197.0,-0.18686962127685547,-0.19940336048603058,1,0,113,0.970,-29.30,-0.1219,-0.1459,-0.0349,-0.1869,0.0802,-0.0944,-0.0302,-0.1213
23.677,246.0,-208.0,-0.1982658952474594,-0.23714621365070343,1,0,127,0.970,-30.90,-0.1564,-0.1898,-0.0367,-0.2432,0.0740,-0.1031,-0.0364,-0.1300
23.727,278.0,-217.0,-0.20782548189163208,-0.26817232370376587,1,0,114,0.970,-32.54,-0.1800,-0.1585,-0.0665,-0.2304,0.0670,-0.1113,-0.0434,-0.1381
23.776,293.0,-215.0,-0.20642854273319244,-0.28252530097961426,1,0,127,0.970,-31.78,-0.2038,-0.1278,-0.1059,-0.2160,0.0586,-0.1169,-0.0518,-0.1438
23.827,305.0,-183.0,-0.17612479627132416,-0.2930285930633545,1,0,127,0.970,-29.31,-0.2185,-0.0765,-0.1531,-0.1737,0.0481,-0.1209,-0.0624,-0.1478
23.877,307.0,-154.0,-0.14830239117145538,-0.29415982961654663,1,0,127,0.970,-26.81,-0.2302,-0.0943,-0.1630,-0.1880,0.0355,-0.1260,-0.0750,-0.1529
23.926,312.0,-131.0,-0.12628866732120514,-0.2984027564525604,1,0,127,0.970,-27.34,-0.2410,-0.1628,-0.1393,-0.2553,0.0222,-0.1353,-0.0883,-0.1622
23.977,325.0,-135.0,-0.1304587572813034,-0.31087419390678406,1,0,127,0.970,-29.93,-0.2530,-0.1986,-0.1202,-0.2983,0.0079,-0.1489,-0.1025,-0.1758
24.027,369.0,-140.0,-0.13653133809566498,-0.35291534662246704,1,0,127,0.980,-30.89,-0.2756,-0.1856,-0.1412,-0.3008,-0.0070,-0.1629,-0.1175,-0.1898
24.076,413.0,-122.0,-0.12026141583919525,-0.3943265974521637,1,0,127,0.980,-28.78,-0.2660,-0.1303,-0.1705,-0.2423,-0.0226,-0.1740,-0.1330,-0.2009
24.127,474.0,-74.0,-0.07423648983240128,-0.45123594999313354,1,0,127,0.980,-25.68,-0.2505,-0.1106,-0.1778,-0.2082,-0.0369,-0.1815,-0.1474,-0.2084
24.176,500.0,-46.0,-0.04653868451714516,-0.475515216588974,1,0,127,0.980,-24.36,-0.2183,-0.1386,-0.1417,-0.2163,-0.0503,-0.1878,-0.1607,-0.2147
24.226,516.0,-46.0,-0.04679417982697487,-0.4907274544239044,1,0,127,0.980,-26.56,-0.1912,-0.1745,-0.0930,-0.2416,-0.0609,-0.1951,-0.1713,-0.2219
24.277,511.0,-62.0,-0.06295908987522125,-0.4862057864665985,1,0,127,0.970,-28.88,-0.1745,-0.1522,-0.0793,-0.2176,-0.0702,-0.2029,-0.1807,-0.2298
24.326,509.0,-49.0,-0.0497249998152256,-0.4841090440750122,1,0,127,0.970,-27.71,-0.1797,-0.0925,-0.1161,-0.1655,-0.0803,-0.2103,-0.1907,-0.2371
